NA,Pulse_Width_fs,Energy_Fraction
0.1,1,0.6934737750602633
0.1,2,0.7509205775145756
0.1,3,0.7607605106197665
0.1,4,0.7641544696782328
0.1,5,0.7657240417177497
0.1,10,0.7678216921939354
0.8,1,0.688117555316061
0.8,2,0.7444285814805236
0.8,3,0.7540685775566529
0.8,4,0.7573926968994715
0.8,5,0.7589281729499817
0.8,10,0.7609774282574076
